perturbation,centered_pearson,rmse
CUX1,-0.19333455510979408,0.06526202117423674
CUX2,-0.3027555554729771,0.10299477295273221
CXXC1,-0.2442009385618648,0.08322939941210653
DACH1,-0.4352257765129408,0.12928590252243105
DACH2,-0.3045922815668556,0.1220543078364706
DAXX,-0.43557562862920834,0.12983681247430018
DBP,-0.35035746551265123,0.08320592563756442
DBX1,-0.35513684368089826,0.10207689253102002
DBX2,-0.3654325463970382,0.10497692831387655
DCP1A,-0.23884118969508164,0.09405474446338326
DDB1,-0.18763974188441906,0.08545104262473802
DDB2,-0.24710760422610376,0.07970492594100743
DDIT3,-0.34795894841873637,0.12255964278987204
DEAF1,-0.12772404346413685,0.0725731061798059
DEK,-0.23867921411947465,0.0905347548878723
DENND4A,-0.27720394715300656,0.09557325643508865
DHX9,-0.31593930882001237,0.09466405522497134
DLX1,-0.47142423461272875,0.17705967906014702
DLX2,-0.3594593528505948,0.11828908451419654
DLX3,-0.6427195162987994,0.24995568135524787
DLX4,-0.4370743549777734,0.09235080430491108
DLX5,-0.5067417805835097,0.1590814708590836
DLX6,-0.2891826007214977,0.10747277505191499
DMAP1,-0.2754949412877572,0.09032317889903833
DMBX1,-0.2565147093768083,0.09662311878080702
DMRT1,-0.45380579929175063,0.12864251960653433
DMRT2,-0.3119451544929616,0.103152912395929
DMRT3,-0.22236472818262726,0.11275375621565042
DMRTA1,-0.3494796721354302,0.07315680486635481
DMRTA2,-0.11431817519621264,0.07322887753465061
DMRTB1,-0.1602009059907474,0.09622139155269765
DMRTC1,-0.25134284105644394,0.0877241187930633
DMRTC2,-0.3340071062351022,0.09597465650285902
DMTF1,-0.10018195457918601,0.08458154040112173
DNAJC1,-0.2317988930176895,0.09151378650025821
DNAJC2,-0.43257668676004873,0.12489527505687853
DND1,-0.32592839023428305,0.1031575294815254
DNMT1,-0.24148655896119875,0.07843908907249651
DPF2,-0.357604669674704,0.10158862390379977
DPRX,-0.20465547602169853,0.07895415117866915
DR1,-0.33778856645465366,0.11545500648781368
DRAP1,-0.2600851217477472,0.0838421334898288
